,team_nusers,team_degree,team_degree_centrality,team_betweenness_centrality,team_closeness_centrality,team_eigenvector_centrality,team_pagerank,team_avg_users_nshot,team_avg_users_in_degree,team_avg_users_out_degree,team_avg_users_rank,team_avg_users_diversity,team_avg_users_nskills,team_avg_users_nfollowers,team_avg_users_nfollowings,team_avg_users_avg_shots_ranking,team_avg_users_avg_shots_ntags,team_avg_users_avg_shots_ncomments,team_avg_users_avg_shots_nlikes,team_avg_users_avg_shots_nviews,team_avg_users_avg_shots_diversity
407,3,3,0.000739,0.000001,0.001052,0.000000,0.000770,18.555556,34.333333,45.222222,0.108025,0.817338,3.000000,241.666667,91.444444,0.002009,0.084117,0.026191,0.468786,12.172793,0.007131
408,1,2,0.000493,0.000000,0.000986,0.000000,0.000509,5.000000,40.000000,1.000000,0.000000,0.152310,2.000000,233.000000,3.000000,0.039111,1.400000,0.960000,7.440000,192.920000,0.136507
409,3,0,0.000000,0.000000,0.000000,0.000000,0.000091,0.666667,2.555556,3.333333,0.117063,0.632524,2.555556,13.111111,13.888889,0.015818,1.746914,3.049383,36.163580,1265.608025,0.190096
410,2,0,0.000000,0.000000,0.000000,0.000000,0.000091,3.250000,2.250000,11.000000,0.000000,0.000000,0.000000,5.250000,25.750000,0.001736,0.279514,0.008681,0.616319,13.062500,0.004076
411,2,0,0.000000,0.000000,0.000000,0.000000,0.000091,17.250000,4.000000,10.750000,0.100000,0.517000,2.750000,26.500000,30.750000,0.001601,0.147766,0.005874,0.226466,5.206343,0.010936
412,2,0,0.000000,0.000000,0.000000,0.000000,0.000091,17.000000,4.000000,7.750000,0.187500,0.678353,2.500000,27.500000,20.250000,0.019872,0.357535,0.141907,1.063577,17.097140,0.025138
413,2,0,0.000000,0.000000,0.000000,0.000000,0.000091,6.750000,2.250000,9.500000,0.125000,0.494215,2.000000,33.500000,27.000000,0.012153,1.387300,0.323700,4.029600,123.195200,0.093993
414,1,2,0.000493,0.000000,0.018165,0.000070,0.000505,12.000000,6.000000,45.000000,0.375000,2.211913,8.000000,36.000000,103.000000,0.020486,0.277778,0.097222,1.854167,31.534722,0.022358
415,1,0,0.000000,0.000000,0.000000,0.000000,0.000091,6.000000,2.000000,14.000000,0.250000,1.798144,8.000000,8.000000,20.000000,0.038426,0.611111,0.000000,3.972222,36.972222,0.056741
416,1,1,0.000246,0.000000,0.000246,0.000000,0.000606,30.000000,7.000000,26.000000,1.000000,2.592895,6.000000,50.000000,62.000000,0.006591,0.171111,0.043333,0.704444,14.204444,0.015929
417,1,1,0.000246,0.000000,0.000246,0.000000,0.000606,11.000000,3.000000,16.000000,0.333333,1.642703,9.000000,8.000000,19.000000,0.007576,0.396694,0.024793,1.024793,14.429752,0.053378
